management.M1 soil_type.CL soil_type.SL precipitation relative_irrigation number_of_trips_reduction relative_profit_percentage
0 0 0 2 1 0 0.41696
0 0 0 2 0.75 0 0.320847059
0 0 0 2 0.5 0 0.183542857
0 0 0 2 1 1 0.291911111
0 0 0 2 0.75 1 0.291911111
0 0 0 2 0.5 1 0.19624127
0 0 0 2 1 2 0.083496296
0 0 0 2 0.75 2 0.083496296
0 0 0 2 0.5 2 0.083496296
0 0 0 0 1 0 0.367253333
0 0 0 0 0.75 0 0.269145098
0 0 0 0 0.5 0 0.128990476
0 0 0 0 1 1 0.315358025
0 0 0 0 0.75 1 0.279602614
0 0 0 0 0.5 1 0.141688889
0 0 0 0 1 2 0.250488889
0 0 0 0 0.75 2 0.250488889
0 0 0 0 0.5 2 0.154387302
0 0 0 1 1 0 0.367253333
0 0 0 1 0.75 0 0.269145098
0 0 0 1 0.5 0 0.128990476
0 0 0 1 1 1 0.315358025
0 0 0 1 0.75 1 0.279602614
0 0 0 1 0.5 1 0.141688889
0 0 0 1 1 2 0.250488889
0 0 0 1 0.75 2 0.250488889
0 0 0 1 0.5 2 0.154387302
0 0 0 2 1 0 0.400391111
0 0 0 2 0.75 0 0.303613072
0 0 0 2 0.5 0 0.16535873
0 0 0 2 1 1 0.314070588
0 0 0 2 0.75 1 0.314070588
0 0 0 2 0.5 1 0.178057143
0 0 0 2 1 2 0.190755556
0 0 0 2 0.75 2 0.190755556
0 0 0 2 0.5 2 0.190755556
